ISO_code_alpha3,Country,New business density rate mean,Economic freedom index mean,new_business_density_mean_scaled,economic_freedom_index_mean_scaled,combined_score
ALB,Albania,1.254,64.58933333333333,0.049481245011971264,0.5333383045623453,0.2914097747871583
ARE,United Arab Emirates,1.8006666666666666,70.154,0.07129555732907687,0.6370754259721859,0.3541854916506314
ARG,Argentina,0.2076923076923077,49.74384615384615,0.0077291423660138725,0.25658711744241725,0.13215812990421555
ARM,Armenia,1.88,69.08999999999999,0.07446129289704707,0.6172402222139367,0.3458507575554919
AUS,Australia,12.667333333333334,81.718,0.5049215216812981,0.8526527720815781,0.6787871468814382
AUT,Austria,0.5106666666666667,71.70666666666666,0.019819100824687415,0.6660204068950947,0.34291975385989104
AZE,Azerbaijan,1.0976923076923077,61.19307692307692,0.043243906931057764,0.4700249230654511,0.2566344149982544
BEL,Belgium,3.272,69.67933333333333,0.13000798084596965,0.6282266383306613,0.37911730958831547
BGR,Bulgaria,1.7507692307692309,66.0823076923077,0.06930443857818158,0.5611704949910089,0.31523746678459524
BHR,Bahrain,1.9476923076923076,73.34846153846154,0.07716250230216709,0.6966269255147374,0.3868947139084522
BLR,Belarus,0.9886666666666667,50.894666666666666,0.03889332269220537,0.27804083864633433,0.15846708066926984
BLZ,Belize,3.529285714285714,59.517857142857146,0.14027476912552728,0.43879529366647685,0.28953503139600206
BRA,Brazil,2.125,55.34166666666667,0.08423782920989624,0.36094229645924225,0.22259006283456925
BTN,Bhutan,0.08299999999999999,57.772000000000006,0.0027533918595371103,0.4062488348682004,0.20450111336386875
BWA,Botswana,12.375333333333334,69.736,0.49326948656557584,0.6292830244957311,0.5612762555306535
CAF,Central African Republic,0.08083333333333333,48.775,0.002666932694865655,0.2385257820364639,0.12059635736566478
CHE,Switzerland,4.319999999999999,80.65214285714286,0.17182761372705502,0.8327829472641376,0.5023052804955963
CHN,China,6.651818181818182,54.21818181818182,0.2648770224189218,0.33999816968386376,0.30243759605139275
CPV,Cabo Verde,6.977692307692308,62.71923076923077,0.2778807784394376,0.4984756491038881,0.38817821377166284
CYP,Cyprus,20.79733333333333,69.916,0.8293429103484967,0.6326386040788933,0.730990757213695
CZE,Czechia,3.4046666666666665,71.08,0.1353019420058526,0.6543380187166773,0.394819980361265
DEU,Germany,1.306,72.39933333333333,0.05155626496408619,0.6789331742540049,0.36524471960904553
DMA,Dominica,13.400833333333333,63.7925,0.5341912742750731,0.5184836508705865,0.5263374625728298
DNK,Denmark,7.065384615384615,76.88230769230769,0.28138007244152485,0.7625052699807556,0.5219426712111402
DZA,Algeria,0.2623076923076923,51.91230769230769,0.00990852722696298,0.29701181336094273,0.15346017029395287
EGY,Egypt,0.08533333333333333,55.434,0.0028465017291832927,0.36266358450467917,0.18275504311693122
ESP,Spain,3.0513333333333335,67.87066666666666,0.12120244745943068,0.5945092775561437,0.35785586250778717
EST,Estonia,16.653333333333332,76.51133333333334,0.6639797818568767,0.7555895256204718,0.7097846537386743
FIN,Finland,3.9313333333333333,73.876,0.15631816972599094,0.7064613549084674,0.43138976231722914
FRA,France,4.185333333333333,63.505333333333326,0.16645384410747538,0.5131302586281893,0.3397920513678323
GAB,Gabon,1.1553333333333333,56.73866666666667,0.04554402766693269,0.3869853224463419,0.21626467505663727
GBR,United Kingdom,12.865333333333332,77.22066666666666,0.5128225591912742,0.7688129947926375,0.6408177769919559
GEO,Georgia,6.354,71.90733333333334,0.2529928172386272,0.6697612567266945,0.46137703698266086
GRC,Greece,0.977,56.39,0.03842777334397445,0.3804854405130308,0.20945660692850263
GTM,Guatemala,0.5946666666666667,61.264,0.023171056131949985,0.4713470787815518,0.2472590674567509
GUY,Guyana,0.6799999999999999,53.812,0.02657621707901037,0.3324260840386263,0.17950115055881832
HKG,Hong Kong,25.074,89.622,0.9999999999999999,1.0,1.0
HRV,Croatia,4.098666666666667,58.916000000000004,0.1629954775206172,0.42757540733007715,0.29528544242534716
HUN,Hungary,4.5120000000000005,66.33733333333333,0.17948922585794094,0.5659247107366118,0.37270696829727634
IDN,Indonesia,0.26,55.68090909090909,0.009816440542697525,0.36726649063996664,0.18854146559133209
